lon,lat,lab_km
152.8938,-44.1886,104.32
153.1437,-44.1886,103.39
153.3935,-44.1886,102.76
153.6433,-44.1886,102.38
153.8931,-44.1886,102.18
154.1430,-44.1886,102.10
154.3928,-44.1886,102.06
154.6426,-44.1886,102.03
154.8924,-44.1886,101.94
155.1423,-44.1886,101.78
155.3921,-44.1886,101.53
155.6419,-44.1886,101.23
155.8917,-44.1886,100.88
110.1735,-43.9390,63.17
110.4233,-43.9390,63.18
110.6731,-43.9390,63.17
110.9230,-43.9390,63.14
111.1728,-43.9390,63.10
111.4226,-43.9390,63.08
111.6724,-43.9390,63.08
111.9223,-43.9390,63.14
112.1721,-43.9390,63.27
112.4219,-43.9390,63.50
112.6718,-43.9390,63.85
112.9216,-43.9390,64.34
113.1714,-43.9390,64.98
113.4212,-43.9390,65.72
113.6711,-43.9390,66.51
113.9209,-43.9390,67.30
114.1707,-43.9390,68.03
114.4205,-43.9390,68.62
114.6704,-43.9390,69.02
114.9202,-43.9390,69.18
115.1700,-43.9390,69.07
115.4198,-43.9390,68.72
115.6697,-43.9390,68.19
115.9195,-43.9390,67.52
116.1693,-43.9390,66.78
116.4192,-43.9390,66.04
116.6690,-43.9390,65.36
116.9188,-43.9390,64.77
117.1686,-43.9390,64.32
117.4185,-43.9390,64.00
117.6683,-43.9390,63.80
117.9181,-43.9390,63.69
118.1679,-43.9390,63.64
118.4178,-43.9390,63.63
118.6676,-43.9390,63.65
118.9174,-43.9390,63.67
119.1672,-43.9390,63.69
119.4171,-43.9390,63.70
119.6669,-43.9390,63.70
119.9167,-43.9390,63.70
120.1666,-43.9390,63.71
120.4164,-43.9390,63.72
120.6662,-43.9390,63.74
120.9160,-43.9390,63.76
121.1659,-43.9390,63.79
121.4157,-43.9390,63.83
121.6655,-43.9390,63.87
121.9153,-43.9390,63.92
122.1652,-43.9390,63.98
122.4150,-43.9390,64.05
122.6648,-43.9390,64.14
122.9146,-43.9390,64.24
123.1645,-43.9390,64.36
123.4143,-43.9390,64.49
123.6641,-43.9390,64.59
123.9139,-43.9390,64.67
124.1638,-43.9390,64.69
124.4136,-43.9390,64.63
124.6634,-43.9390,64.50
124.9133,-43.9390,64.27
125.1631,-43.9390,63.96
125.4129,-43.9390,63.57
125.6627,-43.9390,63.14
125.9126,-43.9390,62.71
126.1624,-43.9390,62.30
126.4122,-43.9390,61.96
126.6620,-43.9390,61.72
126.9119,-43.9390,61.59
127.1617,-43.9390,61.61
127.4115,-43.9390,61.76
127.6613,-43.9390,62.02
127.9112,-43.9390,62.38
128.1610,-43.9390,62.81
128.4108,-43.9390,63.31
128.6607,-43.9390,63.84
128.9105,-43.9390,64.42
129.1603,-43.9390,65.01
129.4101,-43.9390,65.62
129.6600,-43.9390,66.22
129.9098,-43.9390,66.80
130.1596,-43.9390,67.35
130.4094,-43.9390,67.85
130.6593,-43.9390,68.29
130.9091,-43.9390,68.67
